ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
010120,LS ELECTRIC,KOSPI,annual,1,exact,17.5,7,1,0,6,3
005490,POSCO홀딩스,KOSPI,annual,3,exact,15.1,10,4,0,6,7
298040,효성중공업,KOSPI,annual,1,exact,20.4,8,4,0,4,4
010120,LS ELECTRIC,KOSPI,annual,2,exact,10.2,7,1,0,6,3
272210,한화시스템,KOSPI,annual,1,exact,26.8,10,3,0,7,4
316140,우리금융지주,KOSPI,annual,1,exact,19.3,10,1,0,9,8
009540,HD한국조선해양,KOSPI,annual,2,exact,24.4,6,1,0,5,3
298040,효성중공업,KOSPI,annual,2,exact,22.7,8,4,0,4,4
010120,LS ELECTRIC,KOSPI,annual,3,exact,23.3,7,1,0,6,3
000810,삼성화재,KOSPI,annual,1,error,0.1,0,0,0,0,0
000810,삼성화재,KOSPI,annual,2,error,0.1,0,0,0,0,0
000810,삼성화재,KOSPI,annual,3,error,0.1,0,0,0,0,0
010140,삼성중공업,KOSPI,annual,1,exact,29.8,7,4,0,3,3
272210,한화시스템,KOSPI,annual,2,exact,19.0,10,3,0,7,4
316140,우리금융지주,KOSPI,annual,2,exact,16.5,10,1,0,9,8
009540,HD한국조선해양,KOSPI,annual,3,exact,27.3,6,1,0,5,3
010140,삼성중공업,KOSPI,annual,2,exact,13.2,7,4,0,3,3
272210,한화시스템,KOSPI,annual,3,exact,13.0,10,3,0,7,4
316140,우리금융지주,KOSPI,annual,3,exact,14.2,10,1,0,9,8
298040,효성중공업,KOSPI,annual,3,exact,22.1,8,4,0,4,4
051910,LG화학,KOSPI,annual,1,exact,14.7,10,3,0,7,6
010140,삼성중공업,KOSPI,annual,3,exact,15.9,7,4,0,3,3
035720,카카오,KOSPI,annual,1,exact,30.5,10,1,0,9,5
051910,LG화학,KOSPI,annual,2,exact,18.1,10,3,0,7,6
035720,카카오,KOSPI,annual,2,exact,15.0,10,1,0,9,5
267250,HD현대,KOSPI,annual,1,exact,34.7,4,1,0,3,2
011200,HMM,KOSPI,annual,1,exact,45.4,7,1,3,3,4
064350,현대로템,KOSPI,annual,1,exact,51.6,8,1,0,7,5
024110,기업은행,KOSPI,annual,1,exact,63.4,4,1,0,3,0
011200,HMM,KOSPI,annual,2,exact,21.7,7,1,3,3,4
035720,카카오,KOSPI,annual,3,exact,50.6,10,1,0,9,5
051910,LG화학,KOSPI,annual,3,exact,51.4,10,3,0,7,6
011200,HMM,KOSPI,annual,3,exact,15.7,7,1,3,3,4
024110,기업은행,KOSPI,annual,2,exact,16.8,4,1,0,3,0
267250,HD현대,KOSPI,annual,2,exact,52.0,4,1,0,3,2
064350,현대로템,KOSPI,annual,2,exact,25.6,8,1,0,7,5
066570,LG전자,KOSPI,annual,1,exact,15.8,10,5,0,5,2
096770,SK이노베이션,KOSPI,annual,1,exact,17.3,7,1,0,6,5
024110,기업은행,KOSPI,annual,3,exact,22.1,4,1,0,3,0
064350,현대로템,KOSPI,annual,3,exact,14.8,8,1,0,7,5
138040,메리츠금융지주,KOSPI,annual,1,exact,24.8,4,2,0,2,1
066570,LG전자,KOSPI,annual,2,exact,13.3,10,5,0,5,2
267250,HD현대,KOSPI,annual,3,exact,34.4,4,1,0,3,2
066570,LG전자,KOSPI,annual,3,exact,24.0,10,5,0,5,2
033780,KT&G,KOSPI,annual,1,exact,28.8,10,5,0,5,3
096770,SK이노베이션,KOSPI,annual,2,exact,54.2,7,1,0,6,5
138040,메리츠금융지주,KOSPI,annual,2,exact,44.7,4,2,0,2,1
138040,메리츠금융지주,KOSPI,annual,3,exact,22.7,4,2,0,2,1
000150,두산,KOSPI,annual,1,exact,68.7,9,4,0,5,5
033780,KT&G,KOSPI,annual,2,exact,41.2,10,5,0,5,3
000720,현대건설,KOSPI,annual,1,exact,89.2,5,1,0,4,3
003670,포스코퓨처엠,KOSPI,annual,1,exact,83.0,8,5,0,3,5
000720,현대건설,KOSPI,annual,2,exact,11.5,7,1,0,6,3
096770,SK이노베이션,KOSPI,annual,3,exact,68.9,7,1,0,6,5
000150,두산,KOSPI,annual,2,exact,48.2,9,4,0,5,5
033780,KT&G,KOSPI,annual,3,exact,50.6,10,5,0,5,3
047810,한국항공우주,KOSPI,annual,1,exact,77.2,10,7,0,3,7
000720,현대건설,KOSPI,annual,3,exact,45.6,7,1,0,6,3
003670,포스코퓨처엠,KOSPI,annual,2,exact,49.0,8,5,0,3,5
086280,현대글로비스,KOSPI,annual,1,no_filing,45.3,0,0,0,0,0
000150,두산,KOSPI,annual,3,exact,48.2,9,4,0,5,5
079550,LIG넥스원,KOSPI,annual,1,error,0.2,0,0,0,0,0
079550,LIG넥스원,KOSPI,annual,2,error,0.2,0,0,0,0,0
079550,LIG넥스원,KOSPI,annual,3,error,0.2,0,0,0,0,0
003670,포스코퓨처엠,KOSPI,annual,3,exact,6.6,8,5,0,3,5
003550,LG,KOSPI,annual,1,error,0.1,0,0,0,0,0
003550,LG,KOSPI,annual,2,error,0.1,0,0,0,0,0
003550,LG,KOSPI,annual,3,error,0.1,0,0,0,0,0
047810,한국항공우주,KOSPI,annual,2,exact,20.8,10,7,0,3,7
017670,SK텔레콤,KOSPI,annual,1,exact,63.1,5,1,0,4,3
030200,KT,KOSPI,annual,1,exact,32.6,5,1,0,4,7
086280,현대글로비스,KOSPI,annual,2,exact,39.9,3,2,0,1,1
017670,SK텔레콤,KOSPI,annual,2,exact,17.3,5,1,0,4,3
047810,한국항공우주,KOSPI,annual,3,exact,37.4,10,7,0,3,7
030200,KT,KOSPI,annual,2,exact,16.8,5,1,0,4,7
352820,하이브,KOSPI,annual,1,exact,45.8,10,7,0,3,6
047050,포스코인터내셔널,KOSPI,annual,1,exact,46.6,10,6,0,4,7
017670,SK텔레콤,KOSPI,annual,3,exact,25.3,5,1,0,4,3
352820,하이브,KOSPI,annual,2,exact,16.9,10,7,0,3,6
086280,현대글로비스,KOSPI,annual,3,exact,36.9,3,2,0,1,1
030200,KT,KOSPI,annual,3,exact,27.3,5,1,0,4,7
047050,포스코인터내셔널,KOSPI,annual,2,exact,24.1,10,6,0,4,7
005830,DB손해보험,KOSPI,annual,1,exact,43.5,6,2,0,4,8
005830,DB손해보험,KOSPI,annual,2,exact,9.1,6,2,0,4,8
005940,NH투자증권,KOSPI,annual,1,exact,30.1,5,1,0,4,0
010950,S-Oil,KOSPI,annual,1,exact,30.2,3,1,0,2,1
352820,하이브,KOSPI,annual,3,exact,37.5,10,7,0,3,6
047050,포스코인터내셔널,KOSPI,annual,3,exact,30.8,10,6,0,4,7
005830,DB손해보험,KOSPI,annual,3,exact,16.2,6,2,0,4,8
010950,S-Oil,KOSPI,annual,2,exact,9.0,3,1,0,2,1
005940,NH투자증권,KOSPI,annual,2,exact,10.6,5,1,0,4,0
010950,S-Oil,KOSPI,annual,3,exact,14.3,3,1,0,2,1
005940,NH투자증권,KOSPI,annual,3,exact,12.8,5,1,0,4,0
018260,삼성에스디에스,KOSPI,annual,1,exact,24.8,6,3,0,3,2
323410,카카오뱅크,KOSPI,annual,1,exact,23.4,10,2,0,8,5
278470,에이피알,KOSPI,annual,1,exact,81.5,3,2,0,1,0
278470,에이피알,KOSPI,annual,2,exact,10.8,3,2,0,1,0
018260,삼성에스디에스,KOSPI,annual,2,exact,33.8,6,3,0,3,2
071050,한국금융지주,KOSPI,annual,1,exact,59.4,10,6,0,4,5
039490,키움증권,KOSPI,annual,1,exact,46.0,10,1,0,9,0
323410,카카오뱅크,KOSPI,annual,2,exact,44.2,10,1,0,9,5
307950,현대오토에버,KOSPI,annual,1,exact,57.3,4,1,0,3,6
278470,에이피알,KOSPI,annual,3,exact,30.6,3,2,0,1,0
323410,카카오뱅크,KOSPI,annual,3,exact,10.6,10,2,0,8,5
018260,삼성에스디에스,KOSPI,annual,3,exact,25.7,6,3,0,3,2
071050,한국금융지주,KOSPI,annual,2,exact,25.4,10,6,0,4,5
039490,키움증권,KOSPI,annual,2,exact,24.2,10,1,0,9,0
307950,현대오토에버,KOSPI,annual,2,exact,17.4,10,3,4,3,6
307950,현대오토에버,KOSPI,annual,3,exact,8.4,10,3,4,3,6
039490,키움증권,KOSPI,annual,3,exact,13.7,10,1,0,9,0
003490,대한항공,KOSPI,annual,1,exact,23.2,4,1,1,2,1
071050,한국금융지주,KOSPI,annual,3,exact,26.3,10,6,0,4,5
259960,크래프톤,KOSPI,annual,1,exact,42.8,4,1,0,3,1
007660,이수페타시스,KOSPI,annual,1,exact,60.7,5,1,0,4,1
007660,이수페타시스,KOSPI,annual,2,exact,6.7,5,1,0,4,1
006260,LS,KOSPI,annual,1,exact,48.4,3,1,0,2,1
003490,대한항공,KOSPI,annual,2,exact,47.1,4,1,1,2,1
259960,크래프톤,KOSPI,annual,2,exact,41.1,4,1,0,3,1
003230,삼양식품,KOSPI,annual,1,exact,51.4,3,2,0,1,1
016360,삼성증권,KOSPI,annual,1,exact,77.0,10,1,0,9,0
003490,대한항공,KOSPI,annual,3,exact,46.9,4,1,1,2,1
016360,삼성증권,KOSPI,annual,2,exact,17.8,10,1,0,9,0
003230,삼양식품,KOSPI,annual,2,exact,41.2,3,2,0,1,1
007660,이수페타시스,KOSPI,annual,3,exact,54.8,5,1,0,4,1
259960,크래프톤,KOSPI,annual,3,exact,50.1,4,1,0,3,1
006260,LS,KOSPI,annual,2,exact,61.1,3,1,0,2,1
016360,삼성증권,KOSPI,annual,3,exact,16.4,10,1,0,9,0
003230,삼양식품,KOSPI,annual,3,exact,14.1,3,2,0,1,1
006260,LS,KOSPI,annual,3,exact,5.2,3,1,0,2,1
180640,한진칼,KOSPI,annual,1,exact,15.0,10,5,0,5,3
090430,아모레퍼시픽,KOSPI,annual,1,exact,24.6,10,1,0,9,6
377300,카카오페이,KOSPI,annual,1,exact,20.8,6,1,0,5,6
180640,한진칼,KOSPI,annual,2,exact,14.5,10,5,0,5,3
090430,아모레퍼시픽,KOSPI,annual,2,exact,15.0,10,1,0,9,6
443060,HD현대마린솔루션,KOSPI,annual,1,exact,25.4,10,1,0,9,5
000880,한화,KOSPI,annual,1,exact,41.2,10,3,0,7,3
009830,한화솔루션,KOSPI,annual,1,exact,59.3,9,1,0,8,2
443060,HD현대마린솔루션,KOSPI,annual,2,exact,42.6,10,1,0,9,5
377300,카카오페이,KOSPI,annual,2,exact,54.4,6,1,0,5,6
180640,한진칼,KOSPI,annual,3,exact,54.3,10,5,0,5,3
009830,한화솔루션,KOSPI,annual,2,exact,12.1,9,1,0,8,2
090430,아모레퍼시픽,KOSPI,annual,3,exact,54.2,10,1,0,9,6
000880,한화,KOSPI,annual,2,exact,42.7,10,3,0,7,3
443060,HD현대마린솔루션,KOSPI,annual,3,exact,29.6,10,1,0,9,5
009830,한화솔루션,KOSPI,annual,3,exact,26.3,9,1,0,8,2
