ticker,company,hit_count
066790,씨씨에스,32
227100,프로브잇,22
317240,TS트릴리온,14
303030,지니틱스,11
085810,알티캐스트,10
200350,아티스트스튜디오,9
068940,셀피글로벌,7
065420,에스아이리소스,7
200130,콜마비앤에이치,7
203690,아크솔루션스,6
073640,테라사이언스,6
079970,투비소프트,6
064090,인크레더블버즈,6
049180,셀루메드,6
321820,아티스트컴퍼니,5
219550,디와이디,5
110020,전진바이오팜,5
101000,KS인더스트리,5
244460,올리패스,4
071850,캐스텍코리아,4
066430,아이로보틱스,4
196300,HLB펩,3
009730,이렘,3
196490,디에이테크놀로지,3
027040,서울전자통신,3
052300,오션인더블유,3
222160,NPX,3
007530,와이엠,3
065650,하이퍼코퍼레이션,3
290670,대보마그네틱,3
043220,티에스넥스젠,3
071200,인피니트헬스케어,3
217330,싸이토젠,2
043100,알파AI,2
419120,산돌,2
041590,플래스크,2
060590,씨티씨바이오,2
224060,더코디,2
065150,대산F&B,2
106520,노블엠앤비,2
081150,티플랙스,2
088800,에이스테크,2
950130,엑세스바이오,2
060230,제이케이시냅스,2
038110,에코플라스틱,2
064850,에프앤가이드,2
095910,에스에너지,2
464080,에스오에스랩,2
054450,텔레칩스,2
040300,YTN,2
309930,조이웍스앤코,2
900100,파이온엑스,2
237750,피앤씨테크,2
070300,엑스큐어,2
060240,스타코링크,2
317690,퀀타매트릭스,2
304840,피플바이오,2
235980,메드팩토,1
089140,넥스턴앤롤코리아,1
313760,캐리,1
056700,신화인터텍,1
062970,한국첨단소재,1
241820,피씨엘,1
298060,풍전약품,1
073570,리튬포어스,1
294140,레몬,1
032980,바이온,1
307870,비투엔,1
049080,기가레인,1
294090,이오플로우,1
108230,톱텍,1
340360,다보링크,1
170030,현대공업,1
086820,바이오솔루션,1
269620,시스웍,1
192410,오늘이엔엠,1
038540,상상인,1
393210,토마토시스템,1
377030,비트맥스,1
139670,키네마스터,1
080720,한국유니온제약,1
115310,인포바인,1
066700,테라젠이텍스,1
950170,JTC,1
083660,CSA 코스믹,1
288330,파라택시스코리아,1
306620,지아이에스,1
195990,에이비프로바이오,1
016790,현대사료,1
384470,코어라인소프트,1
299660,셀리드,1
065570,삼영이엔씨,1
039020,이건홀딩스,1
451250,삐아,1
094860,네오리진,1
367000,플래티어,1
175250,아이큐어,1
043590,웰킵스하이텍,1
355390,크라우드웍스,1
