ticker,company,market,meeting_type,run_no,status,elapsed_s,agendas,followup_count
272210,한화시스템,KOSPI,annual,1,no_filing,25.7,0,0
272210,한화시스템,KOSPI,annual,2,no_filing,0.0,0,0
272210,한화시스템,KOSPI,annual,3,no_filing,0.0,0,0
000810,삼성화재,KOSPI,annual,1,error,0.1,0,0
000810,삼성화재,KOSPI,annual,2,error,0.1,0,0
000810,삼성화재,KOSPI,annual,3,error,0.1,0,0
316140,우리금융지주,KOSPI,annual,1,no_filing,19.5,0,0
316140,우리금융지주,KOSPI,annual,2,no_filing,0.0,0,0
316140,우리금융지주,KOSPI,annual,3,no_filing,0.0,0,0
010140,삼성중공업,KOSPI,annual,1,no_filing,15.7,0,0
010140,삼성중공업,KOSPI,annual,2,no_filing,0.0,0,0
010140,삼성중공업,KOSPI,annual,3,no_filing,0.0,0,0
035720,카카오,KOSPI,annual,1,no_filing,15.5,0,0
035720,카카오,KOSPI,annual,2,no_filing,0.6,0,0
035720,카카오,KOSPI,annual,3,no_filing,0.4,0,0
051910,LG화학,KOSPI,annual,1,no_filing,20.6,0,0
051910,LG화학,KOSPI,annual,2,no_filing,0.0,0,0
051910,LG화학,KOSPI,annual,3,no_filing,0.0,0,0
267250,HD현대,KOSPI,annual,1,no_filing,24.8,0,0
267250,HD현대,KOSPI,annual,2,no_filing,4.2,0,0
011200,HMM,KOSPI,annual,1,no_filing,21.5,0,0
267250,HD현대,KOSPI,annual,3,no_filing,0.0,0,0
011200,HMM,KOSPI,annual,2,no_filing,0.0,0,0
011200,HMM,KOSPI,annual,3,no_filing,0.0,0,0
024110,기업은행,KOSPI,annual,1,no_filing,17.4,0,0
024110,기업은행,KOSPI,annual,2,no_filing,0.0,0,0
024110,기업은행,KOSPI,annual,3,no_filing,0.0,0,0
064350,현대로템,KOSPI,annual,1,no_filing,15.1,0,0
064350,현대로템,KOSPI,annual,2,no_filing,0.0,0,0
064350,현대로템,KOSPI,annual,3,no_filing,0.0,0,0
096770,SK이노베이션,KOSPI,annual,1,no_filing,17.9,0,0
096770,SK이노베이션,KOSPI,annual,2,no_filing,0.0,0,0
096770,SK이노베이션,KOSPI,annual,3,no_filing,0.0,0,0
066570,LG전자,KOSPI,annual,1,no_filing,12.6,0,0
066570,LG전자,KOSPI,annual,2,no_filing,0.4,0,0
066570,LG전자,KOSPI,annual,3,no_filing,1.1,0,0
138040,메리츠금융지주,KOSPI,annual,1,no_filing,31.4,0,0
138040,메리츠금융지주,KOSPI,annual,2,no_filing,0.0,0,0
138040,메리츠금융지주,KOSPI,annual,3,no_filing,0.0,0,0
033780,KT&G,KOSPI,annual,1,no_filing,35.4,0,0
033780,KT&G,KOSPI,annual,2,no_filing,0.0,0,0
033780,KT&G,KOSPI,annual,3,no_filing,0.0,0,0
000150,두산,KOSPI,annual,1,no_filing,42.1,0,0
000150,두산,KOSPI,annual,2,no_filing,0.4,0,0
000150,두산,KOSPI,annual,3,no_filing,0.0,0,0
003670,포스코퓨처엠,KOSPI,annual,1,no_filing,22.5,0,0
003670,포스코퓨처엠,KOSPI,annual,2,no_filing,0.0,0,0
003670,포스코퓨처엠,KOSPI,annual,3,no_filing,0.0,0,0
000720,현대건설,KOSPI,annual,1,no_filing,30.9,0,0
000720,현대건설,KOSPI,annual,2,no_filing,0.0,0,0
000720,현대건설,KOSPI,annual,3,no_filing,0.0,0,0
047810,한국항공우주,KOSPI,annual,1,no_filing,21.5,0,0
047810,한국항공우주,KOSPI,annual,2,no_filing,0.0,0,0
047810,한국항공우주,KOSPI,annual,3,no_filing,0.0,0,0
086280,현대글로비스,KOSPI,annual,1,no_filing,16.1,0,0
086280,현대글로비스,KOSPI,annual,2,no_filing,0.0,0,0
086280,현대글로비스,KOSPI,annual,3,no_filing,0.0,0,0
017670,SK텔레콤,KOSPI,annual,1,no_filing,22.2,0,0
017670,SK텔레콤,KOSPI,annual,2,no_filing,2.8,0,0
017670,SK텔레콤,KOSPI,annual,3,no_filing,0.0,0,0
030200,KT,KOSPI,annual,1,no_filing,20.9,0,0
030200,KT,KOSPI,annual,2,no_filing,0.8,0,0
030200,KT,KOSPI,annual,3,no_filing,0.6,0,0
079550,LIG넥스원,KOSPI,annual,1,no_filing,25.0,0,0
079550,LIG넥스원,KOSPI,annual,2,no_filing,0.0,0,0
079550,LIG넥스원,KOSPI,annual,3,no_filing,0.0,0,0
047050,포스코인터내셔널,KOSPI,annual,1,no_filing,21.0,0,0
047050,포스코인터내셔널,KOSPI,annual,2,no_filing,0.0,0,0
047050,포스코인터내셔널,KOSPI,annual,3,no_filing,0.0,0,0
003550,LG,KOSPI,annual,1,no_filing,22.3,0,0
003550,LG,KOSPI,annual,2,no_filing,0.0,0,0
003550,LG,KOSPI,annual,3,no_filing,0.0,0,0
352820,하이브,KOSPI,annual,1,no_filing,16.3,0,0
352820,하이브,KOSPI,annual,2,no_filing,0.0,0,0
352820,하이브,KOSPI,annual,3,no_filing,0.0,0,0
005830,DB손해보험,KOSPI,annual,1,no_filing,14.2,0,0
005830,DB손해보험,KOSPI,annual,2,no_filing,0.0,0,0
005830,DB손해보험,KOSPI,annual,3,no_filing,0.0,0,0
010950,S-Oil,KOSPI,annual,1,no_filing,13.6,0,0
010950,S-Oil,KOSPI,annual,2,no_filing,0.0,0,0
010950,S-Oil,KOSPI,annual,3,no_filing,0.0,0,0
005940,NH투자증권,KOSPI,annual,1,no_filing,20.2,0,0
005940,NH투자증권,KOSPI,annual,2,no_filing,0.0,0,0
005940,NH투자증권,KOSPI,annual,3,no_filing,0.0,0,0
278470,에이피알,KOSPI,annual,1,no_filing,30.8,0,0
278470,에이피알,KOSPI,annual,2,no_filing,0.0,0,0
278470,에이피알,KOSPI,annual,3,no_filing,0.0,0,0
071050,한국금융지주,KOSPI,annual,1,no_filing,20.5,0,0
071050,한국금융지주,KOSPI,annual,2,no_filing,0.0,0,0
071050,한국금융지주,KOSPI,annual,3,no_filing,0.0,0,0
018260,삼성에스디에스,KOSPI,annual,1,no_filing,15.3,0,0
018260,삼성에스디에스,KOSPI,annual,2,no_filing,0.0,0,0
018260,삼성에스디에스,KOSPI,annual,3,no_filing,0.0,0,0
323410,카카오뱅크,KOSPI,annual,1,no_filing,15.0,0,0
323410,카카오뱅크,KOSPI,annual,2,no_filing,0.0,0,0
323410,카카오뱅크,KOSPI,annual,3,no_filing,0.0,0,0
039490,키움증권,KOSPI,annual,1,no_filing,22.4,0,0
039490,키움증권,KOSPI,annual,2,no_filing,0.0,0,0
039490,키움증권,KOSPI,annual,3,no_filing,0.0,0,0
307950,현대오토에버,KOSPI,annual,1,no_filing,20.3,0,0
307950,현대오토에버,KOSPI,annual,2,no_filing,0.0,0,0
307950,현대오토에버,KOSPI,annual,3,no_filing,0.0,0,0
259960,크래프톤,KOSPI,annual,1,no_filing,26.7,0,0
259960,크래프톤,KOSPI,annual,2,no_filing,0.0,0,0
259960,크래프톤,KOSPI,annual,3,no_filing,0.0,0,0
003490,대한항공,KOSPI,annual,1,no_filing,16.1,0,0
003490,대한항공,KOSPI,annual,2,no_filing,0.1,0,0
003490,대한항공,KOSPI,annual,3,no_filing,0.0,0,0
007660,이수페타시스,KOSPI,annual,1,no_filing,14.4,0,0
007660,이수페타시스,KOSPI,annual,2,no_filing,0.0,0,0
007660,이수페타시스,KOSPI,annual,3,no_filing,0.0,0,0
