ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
010120,LS ELECTRIC,KOSPI,annual,3,exact,0.0,7,1,0,6,3
009540,HD한국조선해양,KOSPI,annual,1,exact,47.1,6,1,0,5,3
009540,HD한국조선해양,KOSPI,annual,2,exact,0.0,6,1,0,5,3
009540,HD한국조선해양,KOSPI,annual,3,exact,0.0,6,1,0,5,3
034730,SK,KOSPI,annual,1,exact,49.1,9,3,0,6,5
034730,SK,KOSPI,annual,2,exact,0.8,9,3,0,6,5
034730,SK,KOSPI,annual,3,exact,1.5,9,3,0,6,5
298040,효성중공업,KOSPI,annual,1,exact,15.1,8,4,0,4,4
298040,효성중공업,KOSPI,annual,2,exact,0.0,8,4,0,4,4
298040,효성중공업,KOSPI,annual,3,exact,0.0,8,4,0,4,4
272210,한화시스템,KOSPI,annual,1,exact,14.3,10,3,0,7,4
272210,한화시스템,KOSPI,annual,2,exact,0.0,10,3,0,7,4
272210,한화시스템,KOSPI,annual,3,exact,0.1,10,3,0,7,4
000810,삼성화재,KOSPI,annual,1,error,0.1,0,0,0,0,0
000810,삼성화재,KOSPI,annual,2,error,0.1,0,0,0,0,0
000810,삼성화재,KOSPI,annual,3,error,0.1,0,0,0,0,0
316140,우리금융지주,KOSPI,annual,1,exact,17.2,10,1,0,9,8
316140,우리금융지주,KOSPI,annual,2,exact,0.0,10,1,0,9,8
316140,우리금융지주,KOSPI,annual,3,exact,0.0,10,1,0,9,8
010140,삼성중공업,KOSPI,annual,1,exact,15.6,7,4,0,3,3
010140,삼성중공업,KOSPI,annual,2,exact,0.0,7,4,0,3,3
010140,삼성중공업,KOSPI,annual,3,exact,0.0,7,4,0,3,3
035720,카카오,KOSPI,annual,1,exact,16.2,10,1,0,9,5
035720,카카오,KOSPI,annual,2,exact,0.4,10,1,0,9,5
035720,카카오,KOSPI,annual,3,exact,0.4,10,1,0,9,5
051910,LG화학,KOSPI,annual,1,exact,22.9,10,3,0,7,6
051910,LG화학,KOSPI,annual,2,exact,0.0,10,3,0,7,6
051910,LG화학,KOSPI,annual,3,exact,0.0,10,3,0,7,6
011200,HMM,KOSPI,annual,1,exact,18.4,7,1,3,3,4
011200,HMM,KOSPI,annual,2,exact,0.0,7,1,3,3,4
011200,HMM,KOSPI,annual,3,exact,0.0,7,1,3,3,4
267250,HD현대,KOSPI,annual,1,exact,26.9,4,1,0,3,2
267250,HD현대,KOSPI,annual,2,exact,0.0,4,1,0,3,2
267250,HD현대,KOSPI,annual,3,exact,0.0,4,1,0,3,2
024110,기업은행,KOSPI,annual,1,exact,8.0,4,1,0,3,0
024110,기업은행,KOSPI,annual,2,exact,0.0,4,1,0,3,0
024110,기업은행,KOSPI,annual,3,exact,0.0,4,1,0,3,0
064350,현대로템,KOSPI,annual,1,exact,14.4,8,1,0,7,5
064350,현대로템,KOSPI,annual,2,exact,0.0,8,1,0,7,5
064350,현대로템,KOSPI,annual,3,exact,0.0,8,1,0,7,5
096770,SK이노베이션,KOSPI,annual,1,exact,15.4,7,1,0,6,5
096770,SK이노베이션,KOSPI,annual,2,exact,0.0,7,1,0,6,5
096770,SK이노베이션,KOSPI,annual,3,exact,0.0,7,1,0,6,5
066570,LG전자,KOSPI,annual,1,exact,12.7,10,5,0,5,2
066570,LG전자,KOSPI,annual,2,exact,0.0,10,5,0,5,2
066570,LG전자,KOSPI,annual,3,exact,0.4,10,5,0,5,2
138040,메리츠금융지주,KOSPI,annual,1,exact,24.9,4,2,0,2,1
138040,메리츠금융지주,KOSPI,annual,2,exact,6.3,4,2,0,2,1
138040,메리츠금융지주,KOSPI,annual,3,exact,7.7,4,2,0,2,1
033780,KT&G,KOSPI,annual,1,exact,39.9,10,5,0,5,3
033780,KT&G,KOSPI,annual,2,exact,0.0,10,5,0,5,3
033780,KT&G,KOSPI,annual,3,exact,0.0,10,5,0,5,3
000150,두산,KOSPI,annual,1,exact,42.1,9,4,0,5,5
000150,두산,KOSPI,annual,2,exact,0.0,9,4,0,5,5
000150,두산,KOSPI,annual,3,exact,0.0,9,4,0,5,5
000720,현대건설,KOSPI,annual,1,exact,25.3,7,1,0,6,3
000720,현대건설,KOSPI,annual,2,exact,0.0,7,1,0,6,3
000720,현대건설,KOSPI,annual,3,exact,0.0,7,1,0,6,3
003670,포스코퓨처엠,KOSPI,annual,1,exact,22.8,8,5,0,3,5
003670,포스코퓨처엠,KOSPI,annual,2,exact,0.0,8,5,0,3,5
003670,포스코퓨처엠,KOSPI,annual,3,exact,0.0,8,5,0,3,5
047810,한국항공우주,KOSPI,annual,1,exact,22.2,10,7,0,3,7
047810,한국항공우주,KOSPI,annual,2,exact,0.1,10,7,0,3,7
047810,한국항공우주,KOSPI,annual,3,exact,0.0,10,7,0,3,7
086280,현대글로비스,KOSPI,annual,1,exact,14.3,3,2,0,1,1
086280,현대글로비스,KOSPI,annual,2,exact,0.3,3,2,0,1,1
086280,현대글로비스,KOSPI,annual,3,exact,0.0,3,2,0,1,1
017670,SK텔레콤,KOSPI,annual,1,exact,14.9,5,1,0,4,3
017670,SK텔레콤,KOSPI,annual,2,exact,0.8,5,1,0,4,3
017670,SK텔레콤,KOSPI,annual,3,exact,0.9,5,1,0,4,3
030200,KT,KOSPI,annual,1,exact,13.8,5,1,0,4,7
030200,KT,KOSPI,annual,2,exact,0.0,5,1,0,4,7
030200,KT,KOSPI,annual,3,exact,0.0,5,1,0,4,7
079550,LIG넥스원,KOSPI,annual,1,exact,42.0,10,1,0,9,17
079550,LIG넥스원,KOSPI,annual,2,exact,0.0,10,1,0,9,17
079550,LIG넥스원,KOSPI,annual,3,exact,0.0,10,1,0,9,17
047050,포스코인터내셔널,KOSPI,annual,1,exact,40.9,10,6,0,4,7
003550,LG,KOSPI,annual,1,exact,40.9,9,2,0,7,4
047050,포스코인터내셔널,KOSPI,annual,2,exact,0.0,10,6,0,4,7
003550,LG,KOSPI,annual,2,exact,0.0,9,2,0,7,4
047050,포스코인터내셔널,KOSPI,annual,3,exact,0.7,10,6,0,4,7
003550,LG,KOSPI,annual,3,exact,0.7,9,2,0,7,4
352820,하이브,KOSPI,annual,1,exact,17.8,10,7,0,3,6
352820,하이브,KOSPI,annual,2,exact,0.0,10,7,0,3,6
352820,하이브,KOSPI,annual,3,exact,0.0,10,7,0,3,6
005830,DB손해보험,KOSPI,annual,1,exact,16.5,6,2,0,4,8
005830,DB손해보험,KOSPI,annual,2,exact,0.0,6,2,0,4,8
005830,DB손해보험,KOSPI,annual,3,exact,0.2,6,2,0,4,8
010950,S-Oil,KOSPI,annual,1,exact,10.1,3,1,0,2,1
010950,S-Oil,KOSPI,annual,2,exact,2.1,3,1,0,2,1
010950,S-Oil,KOSPI,annual,3,exact,0.0,3,1,0,2,1
005940,NH투자증권,KOSPI,annual,1,exact,16.8,5,1,0,4,0
005940,NH투자증권,KOSPI,annual,2,exact,0.0,5,1,0,4,0
005940,NH투자증권,KOSPI,annual,3,exact,0.0,5,1,0,4,0
278470,에이피알,KOSPI,annual,1,exact,46.6,3,2,0,1,0
278470,에이피알,KOSPI,annual,2,exact,0.0,3,2,0,1,0
278470,에이피알,KOSPI,annual,3,exact,0.0,3,2,0,1,0
