ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
010120,LS ELECTRIC,KOSPI,annual,2,exact,30.3,7,1,0,6,3
034730,SK,KOSPI,annual,1,exact,47.2,9,3,0,6,5
010120,LS ELECTRIC,KOSPI,annual,3,exact,46.1,7,1,0,6,3
272210,한화시스템,KOSPI,annual,1,exact,76.7,10,3,0,7,4
298040,효성중공업,KOSPI,annual,1,exact,89.8,8,4,0,4,4
316140,우리금융지주,KOSPI,annual,1,exact,73.8,10,1,0,9,8
009540,HD한국조선해양,KOSPI,annual,2,timeout,90.0,0,0,0,0,0
298040,효성중공업,KOSPI,annual,2,exact,14.7,8,4,0,4,4
316140,우리금융지주,KOSPI,annual,2,exact,15.7,10,1,0,9,8
272210,한화시스템,KOSPI,annual,2,exact,23.6,10,3,0,7,4
298040,효성중공업,KOSPI,annual,3,exact,13.0,8,4,0,4,4
000810,삼성화재,KOSPI,annual,1,error,0.1,0,0,0,0,0
000810,삼성화재,KOSPI,annual,2,error,0.1,0,0,0,0,0
000810,삼성화재,KOSPI,annual,3,error,0.1,0,0,0,0,0
010140,삼성중공업,KOSPI,annual,1,exact,29.4,7,4,0,3,3
316140,우리금융지주,KOSPI,annual,3,exact,10.2,10,1,0,9,8
009540,HD한국조선해양,KOSPI,annual,3,exact,18.9,6,1,0,5,3
034730,SK,KOSPI,annual,2,exact,75.9,9,3,0,6,5
272210,한화시스템,KOSPI,annual,3,exact,9.0,10,3,0,7,4
010140,삼성중공업,KOSPI,annual,2,exact,50.4,7,4,0,3,3
051910,LG화학,KOSPI,annual,1,exact,54.9,10,3,0,7,6
035720,카카오,KOSPI,annual,1,exact,59.2,10,1,0,9,5
011200,HMM,KOSPI,annual,1,exact,71.4,7,1,3,3,4
267250,HD현대,KOSPI,annual,1,timeout,90.0,0,0,0,0,0
034730,SK,KOSPI,annual,3,exact,88.4,9,3,0,6,5
010140,삼성중공업,KOSPI,annual,3,exact,45.4,7,4,0,3,3
035720,카카오,KOSPI,annual,2,exact,38.2,10,1,0,9,5
051910,LG화학,KOSPI,annual,2,exact,46.2,10,3,0,7,6
024110,기업은행,KOSPI,annual,1,exact,13.8,4,1,0,3,0
011200,HMM,KOSPI,annual,2,exact,30.5,7,1,3,3,4
267250,HD현대,KOSPI,annual,2,exact,31.1,4,1,0,3,2
024110,기업은행,KOSPI,annual,2,exact,18.5,4,1,0,3,0
051910,LG화학,KOSPI,annual,3,exact,24.3,10,3,0,7,6
064350,현대로템,KOSPI,annual,1,exact,29.8,8,1,0,7,5
011200,HMM,KOSPI,annual,3,exact,20.0,7,1,3,3,4
024110,기업은행,KOSPI,annual,3,exact,7.8,4,1,0,3,0
064350,현대로템,KOSPI,annual,2,exact,6.8,8,1,0,7,5
035720,카카오,KOSPI,annual,3,exact,37.5,10,1,0,9,5
066570,LG전자,KOSPI,annual,1,exact,15.4,10,5,0,5,2
267250,HD현대,KOSPI,annual,3,exact,26.5,4,1,0,3,2
064350,현대로템,KOSPI,annual,3,exact,17.5,8,1,0,7,5
096770,SK이노베이션,KOSPI,annual,1,exact,23.3,7,1,0,6,5
138040,메리츠금융지주,KOSPI,annual,1,exact,27.1,4,2,0,2,1
066570,LG전자,KOSPI,annual,2,exact,21.4,10,5,0,5,2
033780,KT&G,KOSPI,annual,1,exact,39.8,10,5,0,5,3
033780,KT&G,KOSPI,annual,2,exact,23.3,10,5,0,5,3
066570,LG전자,KOSPI,annual,3,exact,68.3,10,5,0,5,2
033780,KT&G,KOSPI,annual,3,exact,38.1,10,5,0,5,3
138040,메리츠금융지주,KOSPI,annual,2,exact,77.1,4,2,0,2,1
000150,두산,KOSPI,annual,1,exact,88.4,9,4,0,5,5
000720,현대건설,KOSPI,annual,1,timeout,90.0,0,0,0,0,0
096770,SK이노베이션,KOSPI,annual,2,timeout,90.0,0,0,0,0,0
138040,메리츠금융지주,KOSPI,annual,3,exact,40.4,4,2,0,2,1
047810,한국항공우주,KOSPI,annual,1,exact,44.0,10,7,0,3,7
000150,두산,KOSPI,annual,2,exact,54.9,9,4,0,5,5
003670,포스코퓨처엠,KOSPI,annual,1,exact,76.5,8,5,0,3,5
047810,한국항공우주,KOSPI,annual,2,exact,34.5,10,7,0,3,7
000720,현대건설,KOSPI,annual,2,exact,85.3,7,1,0,6,3
086280,현대글로비스,KOSPI,annual,1,exact,52.0,3,2,0,1,1
000150,두산,KOSPI,annual,3,exact,39.8,9,4,0,5,5
003670,포스코퓨처엠,KOSPI,annual,2,exact,20.5,8,5,0,3,5
047810,한국항공우주,KOSPI,annual,3,exact,20.0,10,7,0,3,7
000720,현대건설,KOSPI,annual,3,exact,11.9,7,1,0,6,3
096770,SK이노베이션,KOSPI,annual,3,timeout,90.0,0,0,0,0,0
086280,현대글로비스,KOSPI,annual,2,exact,7.6,3,2,0,1,1
003670,포스코퓨처엠,KOSPI,annual,3,exact,10.6,8,5,0,3,5
030200,KT,KOSPI,annual,1,exact,17.1,5,1,0,4,7
017670,SK텔레콤,KOSPI,annual,1,exact,19.3,5,1,0,4,3
086280,현대글로비스,KOSPI,annual,3,exact,21.3,3,2,0,1,1
047050,포스코인터내셔널,KOSPI,annual,1,exact,23.9,10,6,0,4,7
030200,KT,KOSPI,annual,2,exact,15.0,5,1,0,4,7
017670,SK텔레콤,KOSPI,annual,2,exact,16.6,5,1,0,4,3
003550,LG,KOSPI,annual,1,exact,39.4,9,2,0,7,4
079550,LIG넥스원,KOSPI,annual,1,exact,51.1,10,1,0,9,17
030200,KT,KOSPI,annual,3,exact,41.9,5,1,0,4,7
017670,SK텔레콤,KOSPI,annual,3,exact,44.1,5,1,0,4,3
352820,하이브,KOSPI,annual,1,exact,50.8,10,7,0,3,6
079550,LIG넥스원,KOSPI,annual,2,exact,24.2,10,1,0,9,17
047050,포스코인터내셔널,KOSPI,annual,2,exact,53.7,10,6,0,4,7
003550,LG,KOSPI,annual,2,exact,35.8,9,2,0,7,4
352820,하이브,KOSPI,annual,2,exact,29.8,10,7,0,3,6
