market,rank,ticker,company,rcept_dt,rcept_no,report_nm,category,plan_title,implementation_sections_count,embedded_results_count,implementation_tag_counts
KOSPI,19,068270,셀트리온,20250318,20250318800047,기업가치제고계획(자율공시)              ,plan,셀트리온 기업가치 제고 계획(Value-up Program),1,0,"{""future_plan"": 1}"
KOSPI,20,267260,HD현대일렉트릭,20260325,20260325800992,기업가치제고계획(자율공시)              (2026년),progress,2026 HD현대일렉트릭 기업가치 제고 계획 이행현황,1,0,"{""meta_reference"": 1}"
KOSPI,20,267260,HD현대일렉트릭,20241217,20241217800369,기업가치제고계획(자율공시)              ,plan,HD현대일렉트릭 기업가치 제고 계획,2,0,"{""implementation_status"": 1, ""meta_reference"": 1}"
KOSPI,22,066570,LG전자,20260331,20260331802750,[기재정정]기업가치제고계획(자율공시)              (2025년 재공시),progress,2025년 LG전자 기업가치 제고 계획 이행현황,3,0,"{""implementation_status"": 3}"
KOSPI,22,066570,LG전자,20260324,20260324800488,기업가치제고계획(자율공시)              (2025년 재공시),progress,2025년 LG전자 기업가치 제고 계획 이행현황,3,0,"{""implementation_status"": 3}"
KOSPI,22,066570,LG전자,20251128,20251128800080,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 LG전자 기업가치 제고 계획 이행현황,3,0,"{""implementation_status"": 3}"
KOSPI,22,066570,LG전자,20241217,20241217800582,기업가치제고계획(자율공시)              (2024년 2차),plan,LG전자 기업가치 제고 계획(2024년 2차),0,0,{}
KOSPI,22,066570,LG전자,20241022,20241022800424,기업가치제고계획(자율공시)              ,plan,LG전자 기업가치 제고 계획,1,0,"{""implementation_outlook"": 1}"
KOSPI,22,066570,LG전자,20240821,20240821800072,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,23,006800,미래에셋증권,20250626,20250626800694,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 미래에셋증권(주) 기업가치 제고 계획 이행현황,4,0,"{""future_plan"": 2, ""implementation_status"": 2}"
KOSPI,23,006800,미래에셋증권,20240822,20240822800223,기업가치제고계획(자율공시)              ,plan,2024 미래에셋증권(주) 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,26,005490,POSCO홀딩스,20260325,20260325800951,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2024년 포스코홀딩스 기업가치 제고 계획,0,0,{}
KOSPI,26,005490,POSCO홀딩스,20241223,20241223800088,기업가치제고계획(자율공시)              ,plan,2024년 포스코홀딩스 기업가치 제고 계획,0,0,{}
KOSPI,26,005490,POSCO홀딩스,20240829,20240829800425,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,27,086790,하나금융지주,20260331,20260331801627,[기재정정]기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2025년 (주)하나금융지주 기업가치 제고 계획 이행 현황,0,0,{}
KOSPI,27,086790,하나금융지주,20260325,20260325800940,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 (주)하나금융지주 기업가치 제고 계획 이행 현황,0,0,{}
KOSPI,27,086790,하나금융지주,20250725,20250725800368,기업가치제고계획(자율공시)              (이행현황),progress,2025년 (주)하나금융지주 기업가치 제고 계획 이행 현황,0,0,{}
KOSPI,27,086790,하나금융지주,20241029,20241029800202,기업가치제고계획(자율공시)              ,plan,2024년 (주)하나금융지주 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,27,086790,하나금융지주,20240814,20240814802569,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,29,042700,한미반도체,20260320,20260320800745,기업가치제고계획(자율공시)              ,plan,2026 한미반도체(주) 기업가치 제고 계획,2,0,"{""meta_reference"": 2}"
KOSPI,29,042700,한미반도체,20251226,20251226800082,기업가치제고계획(자율공시)              ,plan,2025 한미반도체(주) 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,29,042700,한미반도체,20250630,20250630800054,기업가치제고계획(자율공시)              ,plan,한미반도체 기업가치 제고 계획,0,0,{}
KOSPI,29,042700,한미반도체,20250411,20250411800234,기업가치제고계획(자율공시)              ,plan,한미반도체 기업가치 제고 계획,1,0,"{""implementation_status"": 1}"
KOSPI,30,010130,고려아연,20260325,20260325801109,기업가치제고계획(자율공시)              ,progress,2025년 고려아연 기업가치제고 이행 현황,5,0,"{""implementation_status"": 5}"
KOSPI,30,010130,고려아연,20250918,20250918800408,기업가치제고계획(자율공시)              ,progress,2025년 고려아연 기업가치 제고계획 이행현황,4,0,"{""implementation_status"": 3, ""implementation_outlook"": 1}"
KOSPI,30,010130,고려아연,20241002,20241002800247,기업가치제고계획(자율공시)              ,plan,2024년 고려아연(주) 기업가치 제고 계획,1,0,"{""implementation_outlook"": 1}"
KOSPI,31,009540,HD한국조선해양,20260401,20260401800247,기업가치제고계획(자율공시)              ,progress,2026년 HD한국조선해양 기업가치 제고 계획 이행현황,3,0,"{""implementation_status"": 2, ""meta_reference"": 1}"
KOSPI,31,009540,HD한국조선해양,20241213,20241213801682,기업가치제고계획(자율공시)              ,plan,2024 HD한국조선해양 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,33,000150,두산,20260401,20260401800077,기업가치제고계획(자율공시)              ,plan,2026년 (주)두산 기업가치 제고 계획,3,0,"{""future_plan"": 2, ""meta_reference"": 1}"
KOSPI,35,000810,삼성화재해상보험,20260320,20260320801434,기업가치제고계획(자율공시)              ,progress,삼성화재 기업가치 제고 계획(2025년 이행 현황),1,0,"{""future_plan"": 1}"
KOSPI,35,000810,삼성화재해상보험,20250131,20250131800220,기업가치제고계획(자율공시)              ,plan,2025년 삼성화재 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,36,051910,LG화학,20260401,20260401800638,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,2025년 LG화학 기업가치 제고 계획 (이행현황),4,0,"{""future_plan"": 3, ""implementation_status"": 1}"
KOSPI,36,051910,LG화학,20251128,20251128800085,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 LG화학 기업가치 제고 계획 이행현황,4,0,"{""future_plan"": 3, ""implementation_status"": 1}"
KOSPI,36,051910,LG화학,20241122,20241122800086,기업가치제고계획(자율공시)              ,plan,2024년 LG화학 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,37,316140,우리금융지주,20260323,20260323801851,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,(고배당기업 해당) 2026년 우리금융그룹 기업가치 제고계획,1,0,"{""meta_reference"": 1}"
KOSPI,37,316140,우리금융지주,20260206,20260206801698,기업가치제고계획(자율공시)              (2026년),plan,2026년 우리금융그룹 기업가치 제고계획,1,0,"{""implementation_status"": 1}"
KOSPI,37,316140,우리금융지주,20250207,20250207800740,기업가치제고계획(자율공시)              ,progress,2024년 우리금융그룹 기업가치 제고계획 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,37,316140,우리금융지주,20240725,20240725800333,기업가치제고계획(자율공시)              ,plan,2024년 우리금융그룹 기업가치 제고 계획,0,0,{}
KOSPI,37,316140,우리금융지주,20240624,20240624800049,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,39,267250,HD현대,20260401,20260401801225,기업가치제고계획(자율공시)              ,progress,2026 HD현대 기업가치 제고 계획(이행현황),1,0,"{""implementation_status"": 1}"
KOSPI,39,267250,HD현대,20241216,20241216801295,기업가치제고계획(자율공시)              ,plan,2024 HD현대 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,40,017670,SK텔레콤,20241024,20241024800370,기업가치제고계획(자율공시)              ,plan,2024년 SK텔레콤 기업가치 제고 계획,1,0,"{""meta_reference"": 1}"
KOSPI,41,003670,포스코퓨처엠,20260326,20260326801096,기업가치제고계획(자율공시)              ,plan,2024년 포스코퓨처엠 기업가치 제고 계획,0,0,{}
