isu_cd,effective_date,factor,event_type,source,evidence,price_check,confidence,note
403870,20230316,4,bonus,disclosure,20230302000205,warn,confirmed,"신주 60,869,250 = 공시 bonus | 주식수반영일 20230411"
405000,20250509,0.0999999846607205,reduction,v1+ledger,20250313000801,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
405100,20221219,3,bonus,disclosure,20221205000369,warn,confirmed,"신주 7,969,112 = 공시 bonus | 주식수반영일 20230110"
405920,20230808,2,bonus,disclosure,20230725000109,warn,confirmed,"신주 6,439,038 = 공시 bonus | 주식수반영일 20230829"
406820,20260107,3.99999915111317,bonus,disclosure,20251231000663,warn,confirmed,"신주 10,602,117 = 공시 bonus | 주식수반영일 20260130"
407400,20230626,1.28549140763292,mixed,disclosure,20230615000415,pass,confirmed,"신주 2,704,045 = 공시 mixed | 주식수반영일 20230719"
408900,20240405,5.99994485492662,bonus,disclosure,20240321000270,warn,confirmed,"신주 26,293,990 = 공시 bonus | 주식수반영일 20240426"
415380,20250908,3,bonus,disclosure,20250827000433,warn,confirmed,"신주 7,628,650 = 공시 bonus | 주식수반영일 20250930"
417500,20230522,4,bonus,disclosure,20230508000250,warn,confirmed,"신주 24,588,558 = 공시 bonus | 주식수반영일 20230612"
418250,20250716,0.869162500178537,reduction,v1+ledger,20250421000245,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
419050,20230831,4,bonus,disclosure,20230817000019,warn,confirmed,"신주 42,897,180 = 공시 bonus | 주식수반영일 20230922"
419120,20250805,1.94660051559454,bonus,disclosure,20250820000150,warn,confirmed,"신주 7,359,181 = 공시 bonus | 주식수반영일 20250829"
424760,20260520,0.49999997471979,merge,v1+ledger,20260519900457,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
425040,20240102,1.99999943535332,bonus,disclosure,20231218000033,warn,confirmed,"신주 10,626,108 = 공시 bonus | 주식수반영일 20240125"
430690,20240429,1.99999577801539,bonus,disclosure,20240415000402,warn,confirmed,"신주 5,447,652 = 공시 bonus | 주식수반영일 20240524"
432470,20240701,2,bonus,disclosure,20240617000143,warn,confirmed,"신주 4,337,278 = 공시 bonus | 주식수반영일 20240729"
437730,20241017,3,bonus,disclosure,20241002000120,warn,confirmed,"신주 21,138,378 = 공시 bonus | 주식수반영일 20241113"
439580,20250508,3,bonus,disclosure,20250415000288,warn,confirmed,"신주 22,340,442 = 공시 bonus | 주식수반영일 20250530"
