bas_dd,n_stocks
20230913,2623
20230914,2624
20230915,2625
20230918,2625
20230919,2625
20230920,2625
20230921,2625
20230922,2624
20230925,2625
20230926,2625
20230927,2626
20230928,0
20230929,0
20231002,0
20231003,0
20231004,2628
20231005,2629
20231006,2630
20231009,0
20231010,2631
20231011,2631
20231012,2631
20231013,2632
20231016,2632
20231017,2632
20231018,2633
20231019,2634
20231020,2634
20231023,2634
20231024,2634
20231025,2634
20231026,2635
20231027,2634
20231030,2634
20231031,2634
20231101,2634
20231102,2636
20231103,2637
20231106,2637
20231107,2637
20231108,2637
20231109,2641
20231110,2641
20231113,2644
20231114,2644
20231115,2645
20231116,2645
20231117,2646
20231120,2647
20231121,2649
20231122,2649
20231123,2649
20231124,2650
20231127,2650
20231128,2651
20231129,2651
20231130,2651
20231201,2653
20231204,2654
20231205,2656
20231206,2656
20231207,2656
20231208,2656
20231211,2656
20231212,2657
20231213,2657
20231214,2657
20231215,2657
20231218,2656
20231219,2656
20231220,2656
20231221,2656
20231222,2659
20231225,0
20231226,2659
20231227,2658
20231228,2658
20231229,0
20240101,0
20240102,2657
20240103,2656
20240104,2656
20240105,2656
20240108,2656
20240109,2656
20240110,2656
20240111,2656
20240112,2655
20240115,2655
20240116,2655
20240117,2655
20240118,2655
20240119,2655
20240122,2655
20240123,2654
20240124,2656
20240125,2657
20240126,2658
20240129,2659
20240130,2659
20240131,2658
20240201,2660
20240202,2661
20240205,2661
20240206,2663
20240207,2663
20240208,2663
20240209,0
20240212,0
20240213,2663
20240214,2663
20240215,2662
20240216,2662
20240219,2662
20240220,2662
20240221,2662
20240222,2663
20240223,2665
20240226,2665
20240227,2666
20240228,2666
20240229,2668
20240301,0
20240304,2668
20240305,2670
20240306,2669
20240307,2670
20240308,2670
20240311,2670
20240312,2670
20240313,2671
20240314,2671
20240315,2671
20240318,2671
20240319,2671
20240320,2671
20240321,2672
20240322,2672
20240325,2672
20240326,2673
20240327,2674
20240328,2674
20240329,2675
20240401,2675
20240402,2675
20240403,2676
20240404,2676
20240405,2676
20240408,2676
20240409,2676
20240410,0
20240411,2676
20240412,2676
20240415,2677
20240416,2677
20240417,2677
20240418,2677
20240419,2677
20240422,2678
20240423,2678
20240424,2679
20240425,2679
20240426,2678
20240429,2678
20240430,2678
20240501,0
20240502,2680
20240503,2680
20240506,0
20240507,2682
20240508,2683
20240509,2683
20240510,2683
20240513,2682
20240514,2681
20240515,0
20240516,2681
20240517,2683
20240520,2683
20240521,2683
20240522,2683
20240523,2684
20240524,2684
20240527,2684
20240528,2684
20240529,2685
20240530,2685
20240531,2685
20240603,2685
20240604,2685
20240605,2685
20240606,0
20240607,2684
20240610,2684
20240611,2684
20240612,2684
20240613,2684
20240614,2685
20240617,2684
20240618,2685
20240619,2688
20240620,2688
20240621,2688
20240624,2691
20240625,2691
20240626,2692
20240627,2693
20240628,2694
20240701,2695
20240702,2695
20240703,2696
20240704,2696
20240705,2696
20240708,2696
20240709,2695
20240710,2694
20240711,2695
20240712,2696
20240715,2697
20240716,2697
20240717,2697
20240718,2697
20240719,2697
20240722,2697
20240723,2697
20240724,2697
20240725,2697
20240726,2697
20240729,2698
20240730,2698
20240731,2699
20240801,2699
20240802,2699
20240805,2699
20240806,2700
20240807,2700
20240808,2700
20240809,2700
20240812,2701
20240813,2702
20240814,2702
20240815,0
20240816,2703
20240819,2704
20240820,2706
20240821,2707
20240822,2709
20240823,2710
20240826,2710
20240827,2710
20240828,2710
20240829,2710
20240830,2711
20240902,2711
20240903,2711
20240904,2711
20240905,2711
20240906,2710
20240909,2710
20240910,2710
20240911,2711
20240912,2711
20240913,2711
20240916,0
20240917,0
20240918,0
20240919,2711
20240920,2711
20240923,2712
20240924,2711
20240925,2712
20240926,2712
20240927,2713
20240930,2714
20241001,0
20241002,2714
20241003,0
20241004,2714
20241007,2713
20241008,2712
20241009,0
20241010,2712
20241011,2712
20241014,2712
20241015,2712
20241016,2713
20241017,2713
20241018,2715
20241021,2716
20241022,2716
20241023,2716
20241024,2717
20241025,2719
20241028,2720
20241029,2720
20241030,2720
20241031,2722
20241101,2724
20241104,2724
20241105,2725
20241106,2725
20241107,2725
20241108,2726
20241111,2726
20241112,2727
20241113,2728
20241114,2728
20241115,2729
20241118,2731
20241119,2733
20241120,2735
20241121,2736
20241122,2735
20241125,2735
20241126,2735
20241127,2735
20241128,2736
20241129,2737
20241202,2737
20241203,2737
20241204,2736
20241205,2736
20241206,2736
20241209,2735
20241210,2735
20241211,2736
20241212,2737
20241213,2737
20241216,2739
20241217,2739
20241218,2740
20241219,2741
20241220,2742
20241223,2743
20241224,2744
20241225,0
20241226,2745
20241227,2745
20241230,2745
20241231,0
20250101,0
20250102,2745
20250103,2745
20250106,2745
20250107,2745
20250108,2744
20250109,2744
20250110,2744
20250113,2744
20250114,2744
20250115,2744
20250116,2744
20250117,2744
20250120,2744
20250121,2744
20250122,2744
20250123,2746
20250124,2749
20250127,0
20250128,0
20250129,0
20250130,0
20250131,2749
20250203,2750
20250204,2751
20250205,2752
20250206,2752
20250207,2752
20250210,2751
20250211,2750
20250212,2751
20250213,2752
20250214,2751
20250217,2752
20250218,2752
20250219,2751
20250220,2752
20250221,2751
20250224,2751
20250225,2752
20250226,2752
20250227,2752
20250228,2752
20250303,0
20250304,2752
20250305,2752
20250306,2753
20250307,2753
20250310,2753
20250311,2753
20250312,2753
20250313,2753
20250314,2754
20250317,2754
20250318,2754
20250319,2754
20250320,2757
20250321,2758
20250324,2759
20250325,2759
20250326,2759
20250327,2759
20250328,2758
20250331,2757
20250401,2756
20250402,2756
20250403,2757
20250404,2757
20250407,2757
20250408,2757
20250409,2757
20250410,2757
20250411,2757
20250414,2757
20250415,2757
20250416,2757
20250417,2757
20250418,2757
20250421,2757
20250422,2757
20250423,2757
20250424,2757
20250425,2757
20250428,2758
20250429,2758
20250430,2758
20250501,0
20250502,2758
20250505,0
20250506,0
20250507,2758
20250508,2759
20250509,2761
20250512,2762
20250513,2762
20250514,2761
20250515,2761
20250516,2760
20250519,2761
20250520,2762
20250521,2762
20250522,2763
20250523,2764
20250526,2762
20250527,2761
20250528,2761
20250529,2762
20250530,2762
20250602,2761
20250603,0
20250604,2761
20250605,2761
20250606,0
20250609,2761
20250610,2762
20250611,2762
20250612,2762
20250613,2762
20250616,2761
20250617,2761
20250618,2759
20250619,2757
20250620,2757
20250623,2757
20250624,2757
20250625,2757
20250626,2757
20250627,2757
20250630,2758
20250701,2758
20250702,2758
20250703,2758
20250704,2760
20250707,2761
20250708,2760
20250709,2759
20250710,2760
20250711,2758
20250714,2757
20250715,2757
20250716,2757
20250717,2757
20250718,2757
20250721,2756
20250722,2758
20250723,2759
20250724,2758
20250725,2759
20250728,2759
20250729,2760
20250730,2760
20250731,2759
20250801,2759
20250804,2759
20250805,2759
20250806,2760
20250807,2761
20250808,2761
20250811,2761
20250812,2761
20250813,2761
20250814,2763
20250815,0
20250818,2764
20250819,2765
20250820,2765
20250821,2765
20250822,2765
20250825,2766
20250826,2766
20250827,2766
20250828,2766
20250829,2766
20250901,2766
20250902,2766
20250903,2766
20250904,2766
20250905,2766
20250908,2765
20250909,2765
20250910,2763
20250911,2762
20250912,2762
20250915,2762
20250916,2762
20250917,2762
20250918,2762
20250919,2763
20250922,2763
20250923,2763
20250924,2763
20250925,2762
20250926,2762
20250929,2762
20250930,2763
20251001,2764
20251002,2764
20251003,0
20251006,0
20251007,0
20251008,0
20251009,0
20251010,2763
20251013,2763
20251014,2762
20251015,2762
20251016,2761
20251017,2761
20251020,2761
20251021,2761
20251022,2761
20251023,2760
20251024,2760
20251027,2759
20251028,2759
20251029,2759
20251030,2759
20251031,2759
20251103,2760
20251104,2760
20251105,2760
20251106,2760
20251107,2761
20251110,2761
20251111,2761
20251112,2761
20251113,2761
20251114,2762
20251117,2763
20251118,2764
20251119,2764
20251120,2765
20251121,2766
20251124,2769
20251125,2769
20251126,2767
20251127,2769
20251128,2769
20251201,2770
20251202,2770
20251203,2770
20251204,2771
20251205,2772
20251208,2772
20251209,2773
20251210,2773
20251211,2775
20251212,2778
20251215,2779
20251216,2780
20251217,2781
20251218,2782
20251219,2783
20251222,2786
20251223,2787
20251224,2788
20251225,0
20251226,2788
20251229,2789
20251230,2788
20251231,0
20260101,0
20260102,2788
20260105,2788
20260106,2788
20260107,2786
20260108,2786
20260109,2786
20260112,2786
20260113,2786
20260114,2783
20260115,2781
20260116,2781
20260119,2781
20260120,2781
20260121,2782
20260122,2781
20260123,2781
20260126,2778
20260127,2776
20260128,2774
20260129,2773
20260130,2774
20260202,2774
20260203,2774
20260204,2773
20260205,2773
20260206,2773
20260209,2773
20260210,2772
20260211,2772
20260212,2771
20260213,2771
20260216,0
20260217,0
20260218,0
20260219,2771
20260220,2771
20260223,2770
20260224,2770
20260225,2770
20260226,2770
20260227,2770
20260302,0
20260303,2770
20260304,2769
20260305,2769
20260306,2770
20260309,2771
20260310,2771
20260311,2771
20260312,2771
20260313,2771
20260316,2770
20260317,2769
20260318,2768
20260319,2768
20260320,2769
20260323,2769
20260324,2769
20260325,2770
20260326,2771
20260327,2772
20260330,2771
20260331,2772
20260401,2773
20260402,2775
20260403,2774
20260406,2773
20260407,2773
20260408,2773
20260409,2773
20260410,2773
20260413,2773
20260414,2773
20260415,2771
20260416,2770
20260417,2770
20260420,2770
20260421,2769
20260422,2769
20260423,2770
20260424,2770
20260427,2770
20260428,2770
20260429,2771
20260430,2772
20260501,0
20260504,2771
20260505,0
20260506,2771
20260507,2770
20260508,2768
20260511,2769
20260512,2769
20260513,2769
20260514,2770
20260515,2770
20260518,2770
20260519,2769
20260520,2770
20260521,2770
20260522,2770
20260525,0
20260526,2770
20260527,2770
20260528,2770
20260529,2770
20260601,2770
20260602,2770
20260603,0
20260604,2770
20260605,2770
20260608,2771
20260609,2770
20260610,2769
20260611,2769
20260612,2768
20260615,2768
20260616,2768
20260617,2768
20260618,2767
20260619,2768
20260622,2768
20260623,2768
20260624,2768
20260625,2768
20260626,2768
20260629,2769
20260630,2769
20260701,2766
