bas_dd,n_stocks
20171006,0
20171009,0
20171010,2134
20171011,2134
20171012,2134
20171013,2134
20171016,2134
20171017,2134
20171018,2134
20171019,2134
20171020,2135
20171023,2135
20171024,2135
20171025,2135
20171026,2136
20171027,2136
20171030,2138
20171031,2139
20171101,2139
20171102,2139
20171103,2139
20171106,2139
20171107,2139
20171108,2139
20171109,2140
20171110,2141
20171113,2141
20171114,2141
20171115,2141
20171116,2141
20171117,2141
20171120,2141
20171121,2141
20171122,2141
20171123,2141
20171124,2142
20171127,2143
20171128,2143
20171129,2145
20171130,2146
20171201,2147
20171204,2148
20171205,2150
20171206,2151
20171207,2152
20171208,2155
20171211,2155
20171212,2156
20171213,2156
20171214,2156
20171215,2156
20171218,2156
20171219,2156
20171220,2156
20171221,2157
20171222,2157
20171225,0
20171226,2157
20171227,2157
20171228,2157
20171229,0
20180101,0
20180102,2157
20180103,2157
20180104,2156
20180105,2158
20180108,2158
20180109,2158
20180110,2158
20180111,2159
20180112,2159
20180115,2159
20180116,2159
20180117,2159
20180118,2159
20180119,2158
20180122,2158
20180123,2158
20180124,2158
20180125,2159
20180126,2160
20180129,2160
20180130,2160
20180131,2160
20180201,2161
20180202,2161
20180205,2162
20180206,2162
20180207,2161
20180208,2162
20180209,2162
20180212,2164
20180213,2165
20180214,2164
20180215,0
20180216,0
20180219,2164
20180220,2164
20180221,2165
20180222,2166
20180223,2165
20180226,2165
20180227,2165
20180228,2165
20180301,0
20180302,2164
20180305,2164
20180306,2164
20180307,2164
20180308,2164
20180309,2163
20180312,2163
20180313,2162
20180314,2164
20180315,2164
20180316,2164
20180319,2164
20180320,2163
20180321,2163
20180322,2164
20180323,2164
20180326,2164
20180327,2164
20180328,2165
20180329,2165
20180330,2163
20180402,2163
20180403,2163
20180404,2164
20180405,2164
20180406,2165
20180409,2165
20180410,2165
20180411,2165
20180412,2165
20180413,2165
20180416,2165
20180417,2164
20180418,2164
20180419,2164
20180420,2164
20180423,2164
20180424,2164
20180425,2164
20180426,2164
20180427,2164
20180430,2164
20180501,0
20180502,2164
20180503,2164
20180504,2163
20180507,0
20180508,2163
20180509,2163
20180510,2163
20180511,2163
20180514,2163
20180515,2163
20180516,2163
20180517,2163
20180518,2163
20180521,2163
20180522,0
20180523,2162
20180524,2162
20180525,2162
20180528,2162
20180529,2163
20180530,2163
20180531,2163
20180601,2164
20180604,2164
20180605,2163
20180606,0
20180607,2164
20180608,2165
20180611,2165
20180612,2166
20180613,0
20180614,2166
20180615,2166
20180618,2166
20180619,2166
20180620,2166
20180621,2166
20180622,2166
20180625,2166
20180626,2167
20180627,2168
20180628,2168
20180629,2168
20180702,2168
20180703,2168
20180704,2168
20180705,2168
20180706,2169
20180709,2168
20180710,2168
20180711,2168
20180712,2169
20180713,2173
20180716,2172
20180717,2171
20180718,2171
20180719,2171
20180720,2172
20180723,2173
20180724,2173
20180725,2173
20180726,2173
20180727,2174
20180730,2174
20180731,2174
20180801,2175
20180802,2176
20180803,2176
20180806,2178
20180807,2179
20180808,2180
20180809,2180
20180810,2180
20180813,2180
20180814,2180
20180815,0
20180816,2180
20180817,2180
20180820,2181
20180821,2181
20180822,2181
20180823,2182
20180824,2183
20180827,2183
20180828,2184
20180829,2184
20180830,2185
20180831,2185
20180903,2185
20180904,2185
20180905,2185
20180906,2185
20180907,2186
20180910,2186
20180911,2186
20180912,2186
20180913,2188
20180914,2189
20180917,2189
20180918,2188
20180919,2188
20180920,2188
20180921,2190
20180924,0
20180925,0
20180926,0
20180927,2190
20180928,2190
20181001,2191
20181002,2192
20181003,0
20181004,2193
20181005,2194
20181008,2194
20181009,0
20181010,2194
20181011,2189
20181012,2185
20181015,2186
20181016,2186
20181017,2186
20181018,2186
20181019,2186
20181022,2186
20181023,2186
20181024,2186
20181025,2186
20181026,2187
20181029,2187
20181030,2187
20181031,2188
20181101,2189
20181102,2190
20181105,2190
20181106,2191
20181107,2191
20181108,2191
20181109,2192
20181112,2192
20181113,2192
20181114,2193
20181115,2194
20181116,2194
20181119,2194
20181120,2195
20181121,2197
20181122,2199
20181123,2200
20181126,2200
20181127,2200
20181128,2202
20181129,2205
20181130,2207
20181203,2208
20181204,2208
20181205,2210
20181206,2210
20181207,2212
20181210,2212
20181211,2212
20181212,2214
20181213,2213
20181214,2215
20181217,2215
20181218,2215
20181219,2216
20181220,2219
20181221,2222
20181224,2224
20181225,0
20181226,2226
20181227,2227
20181228,2227
20181231,0
20190101,0
20190102,2226
20190103,2226
20190104,2226
20190107,2226
20190108,2226
20190109,2226
20190110,2226
20190111,2226
20190114,2226
20190115,2226
20190116,2226
20190117,2226
20190118,2226
20190121,2226
20190122,2226
20190123,2226
20190124,2226
20190125,2227
20190128,2227
20190129,2226
20190130,2227
20190131,2227
20190201,2228
20190204,0
20190205,0
20190206,0
20190207,2228
20190208,2228
20190211,2229
20190212,2229
20190213,2229
20190214,2229
20190215,2229
20190218,2229
20190219,2229
20190220,2229
20190221,2229
20190222,2229
20190225,2229
20190226,2229
20190227,2229
20190228,2229
20190301,0
20190304,2229
20190305,2230
20190306,2230
20190307,2230
20190308,2230
20190311,2230
20190312,2230
20190313,2230
20190314,2231
20190315,2232
20190318,2232
20190319,2232
20190320,2232
20190321,2233
20190322,2234
20190325,2234
20190326,2234
20190327,2236
20190328,2237
20190329,2238
20190401,2238
20190402,2238
20190403,2238
20190404,2238
20190405,2238
20190408,2238
20190409,2238
20190410,2238
20190411,2238
20190412,2238
20190415,2238
20190416,2238
20190417,2238
20190418,2238
20190419,2238
20190422,2238
20190423,2238
20190424,2238
20190425,2238
20190426,2238
20190429,2239
