market,rank,ticker,company,market_cap
KOSDAQ,125,477850,마키나락스,"9,578"
KOSDAQ,126,293490,카카오게임즈,"9,553"
KOSDAQ,127,476060,온코닉테라퓨틱스,"9,490"
KOSDAQ,128,094170,동운아나텍,"9,232"
KOSDAQ,129,056080,유진로봇,"9,115"
KOSDAQ,130,035760,CJ ENM,"9,101"
KOSDAQ,131,122870,와이지엔터테인먼트,"9,009"
KOSDAQ,132,252990,샘씨엔에스,"8,997"
KOSDAQ,133,358570,지아이이노베이션,"8,948"
KOSDAQ,134,121600,나노신소재,"8,896"
KOSDAQ,135,046890,서울반도체,"8,792"
KOSDAQ,136,052400,코나아이,"8,723"
KOSDAQ,137,077360,덕산하이메탈,"8,583"
KOSDAQ,138,376900,로킷헬스케어,"8,524"
KOSDAQ,139,033640,네패스,"8,520"
KOSDAQ,140,348370,엔켐,"8,469"
KOSDAQ,141,053610,프로텍,"8,433"
KOSDAQ,142,253450,스튜디오드래곤,"8,401"
KOSDAQ,143,336570,원텍,"8,394"
KOSDAQ,144,032190,다우데이타,"8,349"
KOSDAQ,145,090360,로보스타,"8,326"
KOSDAQ,146,033160,엠케이전자,"8,271"
KOSDAQ,147,044490,태웅,"8,243"
KOSDAQ,148,327260,RF머트리얼즈,"8,215"
KOSDAQ,149,365340,성일하이텍,"8,186"
KOSDAQ,150,174900,앱클론,"8,091"
