market,rank,ticker,company,market_cap
KOSPI,135,097950,CJ제일제당,"32,366"
KOSPI,136,028670,팬오션,"31,967"
KOSPI,137,031210,서울보증보험,"31,839"
KOSPI,138,375500,DL이앤씨,"31,806"
KOSPI,139,020150,롯데에너지머티리얼즈,"31,472"
KOSPI,140,457190,이수스페셜티케미컬,"30,974"
KOSPI,141,001720,신영증권,"30,430"
KOSPI,142,139130,iM금융지주,"30,390"
KOSPI,143,383220,F&F,"29,880"
KOSPI,144,009420,한올바이오파마,"29,777"
KOSPI,145,204320,HL만도,"29,583"
KOSPI,146,006360,GS건설,"27,514"
KOSPI,147,071970,HD현대마린엔진,"27,442"
KOSPI,148,009970,영원무역홀딩스,"27,268"
KOSPI,149,483650,달바글로벌,"27,203"
KOSPI,150,004990,롯데지주,"27,059"
KOSPI,151,007340,DN오토모티브,"26,974"
KOSPI,152,012750,에스원,"26,865"
KOSPI,153,439260,대한조선,"26,738"
KOSPI,154,026960,동서,"26,072"
KOSPI,155,229640,LS에코에너지,"25,786"
KOSPI,156,003690,코리안리,"25,660"
KOSPI,157,139480,이마트,"24,974"
KOSPI,158,103140,풍산,"24,661"
KOSPI,159,011210,현대위아,"24,612"
KOSPI,160,051600,한전KPS,"24,570"
KOSPI,161,004370,농심,"24,331"
KOSPI,162,007810,코리아써키트,"24,150"
KOSPI,163,018670,SK가스,"24,069"
KOSPI,164,069960,현대백화점,"23,721"
KOSPI,165,000240,한국앤컴퍼니,"23,307"
KOSPI,166,120110,코오롱인더,"23,268"
KOSPI,167,008930,한미사이언스,"23,082"
KOSPI,168,008770,호텔신라,"22,882"
KOSPI,169,007070,GS리테일,"22,867"
KOSPI,170,322000,HD현대에너지솔루션,"22,736"
KOSPI,171,001430,세아베스틸지주,"22,557"
KOSPI,172,282330,BGF리테일,"22,538"
KOSPI,173,005440,현대지에프홀딩스,"22,450"
KOSPI,174,279570,케이뱅크,"22,435"
KOSPI,175,112610,씨에스윈드,"22,224"
KOSPI,176,030000,제일기획,"21,892"
KOSPI,177,161890,한국콜마,"21,528"
KOSPI,178,192820,코스맥스,"20,770"
KOSPI,179,081660,미스토홀딩스,"20,653"
KOSPI,180,085620,미래에셋생명,"20,561"
KOSPI,181,000120,CJ대한통운,"20,440"
KOSPI,182,097230,HJ중공업,"20,362"
