ticker,company,sector,industry
086520,에코프로,IT,하드웨어
247540,에코프로비엠,IT,하드웨어
196170,알테오젠,의료,제약 및 바이오
000250,삼천당제약,의료,제약 및 바이오
277810,레인보우로보틱스,산업재,자본재
298380,에이비엘바이오,의료,제약 및 바이오
950160,코오롱티슈진,의료,제약 및 바이오
058470,리노공업,IT,반도체
028300,HLB,의료,의료장비 및 서비스
141080,리가켐바이오,의료,제약 및 바이오
087010,펩트론,의료,제약 및 바이오
214370,케어젠,필수소비재,생활용품
240810,원익IPS,IT,반도체
310210,보로노이,의료,제약 및 바이오
095340,ISC,IT,반도체
039030,이오테크닉스,IT,반도체
263750,펄어비스,IT,소프트웨어
108490,로보티즈,산업재,자본재
226950,올릭스,의료,제약 및 바이오
032820,우리기술,산업재,상업서비스
214150,클래시스,의료,의료장비 및 서비스
403870,HPSP,IT,반도체
0009K0,에임드바이오,의료,제약 및 바이오
043260,성호전자,IT,하드웨어
347850,디앤디파마텍,의료,제약 및 바이오
214450,파마리서치,의료,의료장비 및 서비스
145020,휴젤,의료,제약 및 바이오
237690,에스티팜,의료,제약 및 바이오
319400,현대무벡스,산업재,자본재
357780,솔브레인,IT,반도체
084370,유진테크,IT,반도체
036930,주성엔지니어링,IT,반도체
083650,비에이치아이,에너지,에너지
476830,알지노믹스,의료,제약 및 바이오
178320,서진시스템,산업재,자본재
140410,메지온,필수소비재,음식료 및 담배
440110,파두,IT,반도체
068760,셀트리온제약,의료,제약 및 바이오
064760,티씨케이,IT,반도체
257720,실리콘투,경기소비재,유통
058610,에스피지,산업재,자본재
005290,동진쎄미켐,IT,반도체
319660,피에스케이,IT,반도체
218410,RFHIC,IT,하드웨어
347700,스피어,산업재,상업서비스
376900,로킷헬스케어,의료,의료장비 및 서비스
035900,JYP Ent.,경기소비재,미디어
031980,피에스케이홀딩스,IT,반도체
030530,원익홀딩스,IT,반도체
041510,에스엠,경기소비재,미디어
099320,쎄트렉아이,산업재,상업서비스
067310,하나마이크론,IT,반도체
131970,두산테스나,IT,반도체
458870,씨어스,의료,의료장비 및 서비스
039200,오스코텍,의료,제약 및 바이오
222800,심텍,IT,하드웨어
078600,대주전자재료,IT,하드웨어
098460,고영,IT,하드웨어
082920,비츠로셀,IT,하드웨어
140860,파크시스템스,IT,하드웨어
089030,테크윙,IT,반도체
475830,오름테라퓨틱,의료,제약 및 바이오
290650,엘앤씨바이오,의료,의료장비 및 서비스
085660,차바이오텍,의료,의료장비 및 서비스
101490,에스앤에스텍,IT,반도체
491000,리브스메드,의료,의료장비 및 서비스
323280,태성,IT,하드웨어
437730,삼현,경기소비재,자동차 및 부품
010170,대한광통신,IT,하드웨어
038500,삼표시멘트,소재,소재
003380,하림지주,필수소비재,음식료 및 담배
060370,LS마린솔루션,산업재,자본재
065350,신성델타테크,경기소비재,내구 소비재 및 의류
232140,와이씨,IT,반도체
195940,HK이노엔,의료,제약 및 바이오
100790,미래에셋벤처투자,금융,기타금융
115180,큐리언트,의료,제약 및 바이오
417200,LS머트리얼즈,IT,하드웨어
080220,제주반도체,IT,반도체
445680,큐리옥스바이오시스템즈,의료,의료장비 및 서비스
127120,제이에스링크,의료,제약 및 바이오
082270,젬백스,IT,반도체
090710,휴림로봇,산업재,자본재
466100,클로봇,산업재,자본재
048410,현대바이오,필수소비재,생활용품
086450,동국제약,의료,제약 및 바이오
281740,레이크머티리얼즈,소재,소재
131290,티에스이,IT,반도체
183300,코미코,IT,반도체
328130,루닛,의료,의료장비 및 서비스
189300,인텔리안테크,IT,하드웨어
397030,에이프릴바이오,의료,제약 및 바이오
035760,CJ ENM,경기소비재,미디어
166090,하나머티리얼즈,IT,반도체
096530,씨젠,의료,의료장비 및 서비스
388210,씨엠티엑스,IT,반도체
032500,케이엠더블유,IT,하드웨어
174900,앱클론,의료,제약 및 바이오
095610,테스,IT,반도체
137400,피엔티,IT,하드웨어
007390,네이처셀,의료,제약 및 바이오
456160,지투지바이오,의료,제약 및 바이오
124500,아이티센글로벌,IT,소프트웨어
213420,덕산네오룩스,IT,디스플레이
052020,에스티큐브,경기소비재,유통
420770,기가비스,IT,반도체
293490,카카오게임즈,IT,소프트웨어
027360,아주IB투자,금융,기타금융
253450,스튜디오드래곤,경기소비재,미디어
295310,에이치브이엠,소재,소재
160190,하이젠알앤엠,산업재,자본재
036540,SFA반도체,IT,반도체
388720,유일로보틱스,산업재,자본재
089970,브이엠,IT,반도체
023160,태광,산업재,자본재
056190,에스에프에이,산업재,자본재
036830,솔브레인홀딩스,IT,하드웨어
014620,성광벤드,산업재,자본재
122870,와이지엔터테인먼트,경기소비재,미디어
476060,온코닉테라퓨틱스,의료,제약 및 바이오
050890,쏠리드,IT,하드웨어
056080,유진로봇,산업재,자본재
222080,씨아이에스,IT,하드웨어
204270,제이앤티씨,IT,하드웨어
044490,태웅,에너지,에너지
161580,필옵틱스,IT,하드웨어
032190,다우데이타,금융,증권
389470,인벤티지랩,의료,제약 및 바이오
006730,서부T&D,경기소비재,소비자 서비스
126340,비나텍,산업재,자본재
241710,코스메카코리아,필수소비재,생활용품
171090,선익시스템,IT,디스플레이
052400,코나아이,IT,소프트웨어
074600,원익QnC,IT,반도체
372320,큐로셀,의료,제약 및 바이오
490470,세미파이브,IT,반도체
036810,에프에스티,IT,반도체
348370,엔켐,IT,하드웨어
121600,나노신소재,소재,소재
368770,파이버프로,IT,하드웨어
078160,메디포스트,의료,제약 및 바이오
225570,넥슨게임즈,IT,소프트웨어
348340,뉴로메카,산업재,자본재
358570,지아이이노베이션,의료,제약 및 바이오
365340,성일하이텍,IT,하드웨어
086900,메디톡스,의료,제약 및 바이오
475960,토모큐브,의료,의료장비 및 서비스
102940,코오롱생명과학,의료,제약 및 바이오
493280,아이엠바이오로직스,의료,제약 및 바이오
009520,포스코엠텍,소재,소재
